Epoch,UTC Time,UK Time,Elapsed Time,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,x_mag,y_mag,z_mag
1691877117,1,2,00:06,-0.004883,0.017578,0.99707,0.182927,0.0,-0.182927,-98.849998,-50.099998,204.0
1691877118,1,2,00:06,0.026855,-0.01416,1.004883,-0.487805,-0.548781,-0.243902,-98.699997,-51.150002,203.699997
1691877118,1,2,00:06,0.001465,0.010742,0.994141,0.0,0.0,0.060976,-98.550003,-49.349998,204.75
1691877118,1,2,00:06,-0.018555,0.017578,0.992188,-0.304878,0.060976,0.365854,-100.650002,-51.150002,204.899994
1691877119,1,2,00:07,0.01123,0.010254,1.002441,0.243902,-0.365854,-0.182927,-99.900002,-49.5,203.699997
1691877119,1,2,00:07,0.00293,-0.001465,1.004883,-0.426829,-0.304878,0.548781,-100.050003,-49.799999,204.0
1691877119,1,2,00:07,0.001465,-0.007812,1.01123,-0.365854,0.0,0.121951,-99.900002,-51.150002,203.399994
1691877119,1,2,00:08,-0.005859,0.004883,0.98584,0.121951,-0.243902,0.121951,-100.800003,-49.349998,203.550003
1691877120,1,2,00:08,0.00293,0.01709,1.001465,0.121951,-0.121951,-0.243902,-99.300003,-49.349998,205.5
1691877120,1,2,00:08,-0.013184,-0.003418,0.999023,-0.548781,0.121951,0.0,-99.0,-49.5,204.449997
1691877120,1,2,00:09,-0.015137,0.009766,1.009277,-0.121951,-0.182927,0.0,-99.900002,-49.950001,203.699997
