Epoch,UTC Time,UK Time,Elapsed Time,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,x_mag,y_mag,z_mag
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:04,0.012207,0.006836,1.013672,0.548781,-0.121951,0.304878,-98.25,-51.150002,202.949997
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:04,0.003906,-0.002441,1.005371,0.121951,0.121951,0.060976,-99.599998,-50.549999,202.5
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:04,0.001465,-0.007324,1.001465,0.0,0.243902,0.121951,-99.900002,-51.450001,204.149994
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:05,-0.001953,0.01416,1.001953,0.304878,0.182927,0.0,-99.300003,-51.75,204.0
1691596820,2023-08-09 16:00:20,2023-08-09 17:00:20,00:05,0.003418,0.004883,1.004395,-0.060976,0.304878,0.0,-99.449997,-51.450001,202.649994
1691596820,2023-08-09 16:00:20,2023-08-09 17:00:20,00:05,0.0,0.0,0.996582,-0.060976,0.304878,0.0,-99.900002,-49.950001,202.649994
1691596820,2023-08-09 16:00:20,2023-08-09 17:00:20,00:06,-0.001953,0.003906,1.007324,0.365854,-0.304878,0.0,-97.949997,-50.400002,203.699997
1691596821,2023-08-09 16:00:21,2023-08-09 17:00:21,00:06,0.006836,-0.003418,1.009277,-0.060976,0.121951,-0.243902,-100.650002,-51.450001,203.399994
1691596821,2023-08-09 16:00:21,2023-08-09 17:00:21,00:06,0.01123,-0.004883,1.001953,0.243902,0.060976,-0.304878,-98.699997,-49.200001,204.149994
1691596821,2023-08-09 16:00:21,2023-08-09 17:00:21,00:06,0.003418,-0.00293,1.005371,0.182927,0.0,-0.365854,-99.300003,-51.75,202.800003
1691596822,2023-08-09 16:00:22,2023-08-09 17:00:22,00:07,0.005859,0.003906,1.007812,-0.121951,-0.243902,0.121951,-100.050003,-49.799999,202.800003
1691596822,2023-08-09 16:00:22,2023-08-09 17:00:22,00:07,-0.012207,0.002441,1.005371,0.243902,0.121951,0.060976,-99.599998,-50.099998,204.75
1691596822,2023-08-09 16:00:22,2023-08-09 17:00:22,00:07,0.008301,-0.001465,1.011719,-0.304878,-0.060976,0.060976,-99.300003,-49.349998,203.25
1691596822,2023-08-09 16:00:22,2023-08-09 17:00:22,00:08,-0.000977,0.002441,1.00293,0.121951,-0.060976,0.0,-99.300003,-50.099998,204.0
1691596823,2023-08-09 16:00:23,2023-08-09 17:00:23,00:08,0.000977,0.010254,1.003418,0.304878,-0.182927,-0.121951,-100.650002,-49.5,201.899994
1691596823,2023-08-09 16:00:23,2023-08-09 17:00:23,00:08,0.009277,0.00293,0.999512,-0.121951,0.121951,0.0,-100.199997,-50.400002,203.399994
