Epoch,UTC Time,UK Time,Elapsed Time,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,x_mag,y_mag,z_mag
1691877394,2023-08-12 21:56:34,2023-08-12 21:56:34,00:03,0.000977,0.004883,1.010742,-0.365854,0.0,0.0,-99.900002,-49.950001,204.899994
1691877395,2023-08-12 21:56:35,2023-08-12 21:56:35,00:04,-0.005859,0.008301,1.007324,-0.304878,0.0,0.0,-100.050003,-49.799999,204.0
1691877395,2023-08-12 21:56:35,2023-08-12 21:56:35,00:04,0.008789,-0.014648,1.019043,-0.121951,-0.243902,0.0,-100.349998,-48.599998,204.300003
1691877395,2023-08-12 21:56:35,2023-08-12 21:56:35,00:04,0.015137,0.002441,1.007324,-0.304878,0.0,-0.060976,-99.0,-49.200001,204.899994
1691877395,2023-08-12 21:56:35,2023-08-12 21:56:35,00:05,-0.022461,-0.01416,1.001465,-0.060976,0.121951,-0.121951,-99.599998,-49.799999,204.300003
1691877396,2023-08-12 21:56:36,2023-08-12 21:56:36,00:05,0.001953,0.001953,1.001953,-0.243902,0.121951,0.060976,-99.599998,-49.799999,204.75
1691877396,2023-08-12 21:56:36,2023-08-12 21:56:36,00:05,0.004395,-0.000488,1.007812,-0.243902,-0.060976,-0.243902,-100.050003,-50.099998,205.5
1691877396,2023-08-12 21:56:36,2023-08-12 21:56:36,00:06,-0.019043,-0.01123,1.006348,-0.121951,0.121951,0.0,-100.050003,-49.349998,205.800003
1691877397,2023-08-12 21:56:37,2023-08-12 21:56:37,00:06,-0.00293,0.007324,1.001465,0.243902,0.243902,-0.121951,-98.849998,-51.0,205.5
1691877397,2023-08-12 21:56:37,2023-08-12 21:56:37,00:06,-0.008301,-0.006348,1.008789,0.243902,0.121951,0.121951,-99.599998,-50.099998,204.75
1691877397,2023-08-12 21:56:37,2023-08-12 21:56:37,00:06,0.008789,0.002441,1.016113,-0.365854,0.0,-0.426829,-99.0,-50.700001,205.649994
1691877398,2023-08-12 21:56:38,2023-08-12 21:56:38,00:07,0.005371,-0.001953,1.012207,-0.670732,-0.121951,0.182927,-100.800003,-51.299999,205.800003
1691877398,2023-08-12 21:56:38,2023-08-12 21:56:38,00:07,-0.000488,-0.003418,1.006348,-0.304878,0.060976,0.0,-100.949997,-48.75,205.649994
1691877398,2023-08-12 21:56:38,2023-08-12 21:56:38,00:07,-0.006836,-0.002441,1.005371,-0.121951,0.0,0.121951,-100.199997,-49.200001,205.949997
1691877398,2023-08-12 21:56:38,2023-08-12 21:56:38,00:08,-0.004395,-0.003906,1.007812,0.182927,-0.060976,0.0,-99.599998,-50.549999,205.800003
1691877399,2023-08-12 21:56:39,2023-08-12 21:56:39,00:08,0.000977,0.009766,1.01416,0.121951,0.0,-0.121951,-99.449997,-50.400002,204.149994
1691877399,2023-08-12 21:56:39,2023-08-12 21:56:39,00:08,0.00293,-0.004395,1.01123,-0.060976,-0.060976,0.060976,-99.599998,-49.799999,205.5
1691877399,2023-08-12 21:56:39,2023-08-12 21:56:39,00:09,-0.000488,-0.010742,0.998047,-0.304878,0.060976,-0.060976,-99.599998,-50.549999,205.050003
1691877400,2023-08-12 21:56:40,2023-08-12 21:56:40,00:09,-0.013672,-0.000977,1.010742,-0.121951,0.0,0.0,-99.0,-49.950001,204.149994
1691877400,2023-08-12 21:56:40,2023-08-12 21:56:40,00:09,0.001953,0.004883,1.010742,0.487805,0.243902,0.060976,-99.599998,-50.549999,205.5
