Epoch,UTC Time,UK Time,Elapsed Time,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,x_mag,y_mag,z_mag
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:04,-0.001953,0.014648,1.001465,-0.182927,0.121951,-0.121951,-98.849998,-49.799999,205.5
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:04,-0.000488,-0.001465,0.999512,-0.060976,-0.243902,0.060976,-99.449997,-50.700001,205.949997
1691596819,2023-08-09 16:00:19,2023-08-09 17:00:19,00:05,-0.015137,0.012207,0.986816,0.121951,-0.060976,0.060976,-99.449997,-49.5,205.199997
1691596820,2023-08-09 16:00:20,2023-08-09 17:00:20,00:05,-0.01123,0.030762,0.99707,0.426829,-0.426829,0.121951,-99.900002,-48.75,204.449997
1691596820,2023-08-09 16:00:20,2023-08-09 17:00:20,00:05,0.001465,0.009766,0.998535,-0.182927,-0.243902,0.060976,-99.449997,-51.150002,204.899994
1691596820,2023-08-09 16:00:20,2023-08-09 17:00:20,00:06,-0.008301,0.003906,0.992188,-0.426829,0.060976,0.182927,-99.0,-49.5,205.199997
1691596821,2023-08-09 16:00:21,2023-08-09 17:00:21,00:06,-0.010742,0.018555,0.990234,0.487805,0.121951,0.060976,-100.650002,-49.5,205.649994
1691596821,2023-08-09 16:00:21,2023-08-09 17:00:21,00:06,-0.00293,0.016113,1.006836,-0.121951,-0.243902,0.243902,-98.849998,-50.099998,204.75
1691596821,2023-08-09 16:00:21,2023-08-09 17:00:21,00:06,-0.001953,0.002441,1.004883,-0.304878,-0.365854,-0.182927,-99.900002,-51.150002,205.649994
