Epoch,UTC Time,UK Time,Elapsed Time,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,x_mag,y_mag,z_mag
1691596827,2023-08-09 16:00:27,2023-08-09 17:00:27,00:13,0.002441,0.015625,1.000977,0.060976,0.182927,0.121951,-99.300003,-50.099998,204.75
1691596828,2023-08-09 16:00:28,2023-08-09 17:00:28,00:13,0.001465,0.016602,1.010742,0.365854,-0.182927,0.243902,-99.449997,-50.700001,203.699997
1691596828,2023-08-09 16:00:28,2023-08-09 17:00:28,00:13,0.007324,0.0,1.004395,-0.365854,-0.243902,0.121951,-99.599998,-49.799999,203.25
1691596828,2023-08-09 16:00:28,2023-08-09 17:00:28,00:14,-0.011719,-0.001953,1.006348,-0.121951,-0.243902,0.060976,-101.400002,-51.900002,204.149994
1691596829,2023-08-09 16:00:29,2023-08-09 17:00:29,00:14,0.007812,-0.002441,1.00293,-0.609756,-0.121951,-0.121951,-99.449997,-49.5,205.199997
1691596829,2023-08-09 16:00:29,2023-08-09 17:00:29,00:14,0.001465,0.01416,1.005859,0.0,0.121951,-0.182927,-100.050003,-49.349998,205.050003
1691596829,2023-08-09 16:00:29,2023-08-09 17:00:29,00:15,0.003906,0.011719,1.005371,0.243902,-0.121951,0.060976,-99.599998,-49.799999,203.550003
1691596829,2023-08-09 16:00:29,2023-08-09 17:00:29,00:15,-0.008301,0.006348,0.994141,0.0,0.121951,0.304878,-99.599998,-51.299999,204.75
1691596830,2023-08-09 16:00:30,2023-08-09 17:00:30,00:15,0.006836,0.007324,0.998047,-0.182927,-0.487805,-0.060976,-99.900002,-49.200001,205.649994
1691596830,2023-08-09 16:00:30,2023-08-09 17:00:30,00:15,0.003418,0.009766,1.001465,-0.121951,-0.060976,0.121951,-100.050003,-50.549999,203.550003
1691596830,2023-08-09 16:00:30,2023-08-09 17:00:30,00:16,-0.008301,0.015137,0.998535,0.121951,0.0,-0.182927,-99.449997,-49.5,204.149994
1691596831,2023-08-09 16:00:31,2023-08-09 17:00:31,00:16,-0.003906,0.0,1.010742,-0.182927,-0.304878,0.121951,-99.300003,-51.0,204.300003
1691596831,2023-08-09 16:00:31,2023-08-09 17:00:31,00:16,0.001465,0.001465,1.0,-0.182927,0.121951,0.0,-100.050003,-51.299999,204.75
1691596831,2023-08-09 16:00:31,2023-08-09 17:00:31,00:17,-0.000488,0.01709,1.0,0.182927,-0.121951,-0.182927,-100.050003,-51.0,203.550003
1691596832,2023-08-09 16:00:32,2023-08-09 17:00:32,00:17,0.005859,0.005371,1.012695,-0.060976,-0.426829,0.0,-100.650002,-49.950001,204.149994
1691596832,2023-08-09 16:00:32,2023-08-09 17:00:32,00:17,-0.006348,-0.002441,0.998535,-0.060976,-0.121951,-0.182927,-99.900002,-50.400002,205.199997
1691596832,2023-08-09 16:00:32,2023-08-09 17:00:32,00:18,-0.007812,0.005371,1.005859,0.243902,-0.487805,0.060976,-100.050003,-50.549999,205.5
1691596832,2023-08-09 16:00:32,2023-08-09 17:00:32,00:18,0.01709,0.010742,0.998047,-0.243902,-0.243902,-0.243902,-98.849998,-51.299999,205.050003
1691596833,2023-08-09 16:00:33,2023-08-09 17:00:33,00:18,0.006348,0.008301,1.006836,-0.182927,0.060976,0.060976,-99.449997,-50.400002,204.449997
1691596833,2023-08-09 16:00:33,2023-08-09 17:00:33,00:19,0.000977,0.008789,0.991699,-0.792683,-0.426829,-0.060976,-99.599998,-49.349998,204.75
1691596833,2023-08-09 16:00:33,2023-08-09 17:00:33,00:19,-0.009766,0.005859,1.007324,-0.365854,-0.060976,0.426829,-99.599998,-51.0,204.300003
1691596834,2023-08-09 16:00:34,2023-08-09 17:00:34,00:19,0.003906,0.004395,0.999023,-0.243902,-0.426829,0.0,-100.349998,-50.549999,205.5
1691596834,2023-08-09 16:00:34,2023-08-09 17:00:34,00:19,-0.001953,0.015137,1.007812,-0.182927,0.0,0.0,-99.449997,-49.5,204.899994
1691596834,2023-08-09 16:00:34,2023-08-09 17:00:34,00:20,0.002441,0.012207,0.998535,-0.304878,-0.182927,0.304878,-99.900002,-49.5,204.149994
1691596835,2023-08-09 16:00:35,2023-08-09 17:00:35,00:20,-0.009277,-0.000977,1.000977,0.0,-0.304878,0.304878,-99.900002,-50.700001,204.449997
1691596835,2023-08-09 16:00:35,2023-08-09 17:00:35,00:20,0.0,0.003906,1.009766,-0.243902,-0.304878,0.0,-99.0,-51.150002,205.199997
1691596835,2023-08-09 16:00:35,2023-08-09 17:00:35,00:21,-0.000488,0.005371,0.99707,0.182927,-0.121951,0.304878,-99.900002,-53.099998,204.899994
1691596835,2023-08-09 16:00:35,2023-08-09 17:00:35,00:21,0.006836,0.019531,1.005371,-0.182927,-0.365854,0.0,-100.949997,-51.150002,204.899994
1691596836,2023-08-09 16:00:36,2023-08-09 17:00:36,00:21,-0.009277,-0.001953,0.996582,-0.121951,0.060976,0.060976,-99.900002,-50.700001,205.649994
1691596836,2023-08-09 16:00:36,2023-08-09 17:00:36,00:22,-0.01123,0.007324,1.0,0.0,-0.121951,-0.060976,-99.900002,-50.400002,205.199997
1691596836,2023-08-09 16:00:36,2023-08-09 17:00:36,00:22,0.00293,-0.003906,1.00293,-0.121951,-0.060976,0.243902,-100.050003,-51.0,205.050003
